call_id,caller_id,agent_id,start_ts,duration_sec,topic,resolved
CALL_0001,b2b79fe6a94f1d82fa5972eaa6647146fd97d3cec89b53d95d611cdd8ad1a4cc,D,2025-08-16T07:42:51.470748,1324,orders,1
CALL_0002,9a414725d4d31b8e443e0f5f4ea3d9eb1c74f6291422f8f72eede9bee7cc1bef,B,2025-08-27T10:12:51.470748,1268,orders,1
CALL_0003,aab3e738cb3d19170392f1516db9aae2398b40af97a0f94c4d6cc4f3f27a5b69,D,2025-08-26T20:25:51.470748,160,other,1
CALL_0004,34f186ba3c2f4059776724f32f746e17a124f51cbba67f3aa485e5b24d0639b0,D,2025-08-17T09:55:51.470748,1245,returns,0
CALL_0005,ea24093ef6253cec250cd830d4a8ae0692f362c539bf23ed6882568b3eb805f5,B,2025-09-04T15:35:51.470748,282,returns,1
CALL_0006,23c46db887d786a7289bb5ba1dd3f4a013feba9abb5e1a061d927df3d5bd408b,A,2025-09-13T11:56:51.470748,1112,tech_support,0
CALL_0007,3c404afb435ad9e9df46809c1fd265d52bdbadcfe9ca57c25dfc77dd62d3b86d,C,2025-08-17T01:01:51.470748,1620,returns,1
CALL_0008,e5f5145c3283b87be6cba89e6fd2f876f5219a737b44a81a71192aaba300e579,E,2025-08-18T10:12:51.470748,676,other,1
CALL_0009,9c833c01687bc78b2de534753257f39dbfffc642416ba8402908a72b85f5fd10,B,2025-08-23T02:29:51.470748,630,returns,1
CALL_0010,d8ca5a58eb81c10b04be4566ac78b589d8d0a806eddca249a35579db787938fe,B,2025-09-14T14:03:51.470748,806,tech_support,0
CALL_0011,b73e192d593d8d59c95ec7748a013bf46910567aea89aedae5eb180712510e6f,D,2025-09-01T00:45:51.470748,1508,returns,1
CALL_0012,ab02faee32bf4bc34a784783257847e9a099faca8ae2fa3e8cc00e7face5c94d,C,2025-08-25T19:43:51.470748,1134,returns,0
CALL_0013,b3ad78f562bd1800821c506c8d12b9c6ffdbe839f4cea1bd8bd11d6efd20c84f,B,2025-09-13T00:39:51.470748,1530,tech_support,1
CALL_0014,09612c6eaec36c2a6f1d1ff1a7206b6173202b90fa44e3a9812ffa1da80b4f55,B,2025-09-03T03:59:51.470748,1025,returns,0
CALL_0015,65d778d3c84f6da11d5ead8784294a13114d92c404d8b8a8f4acf468c021a2a4,E,2025-08-31T20:49:51.470748,367,other,1
CALL_0016,81620b4c5043ac0cf499c454643947b31b6fc3248d44f828c2252242fa3b8afb,B,2025-08-30T11:25:51.470748,217,returns,1
CALL_0017,1e2d805e9ddbcaa12567e24fdb8e5198f0b7c96b615ee9c500a2009d1fc78d35,A,2025-09-11T03:26:51.470748,44,other,1
CALL_0018,f7372afca768942fe016107d3feea026692b82482a80db7eb22017ec4aa8fa86,A,2025-09-13T00:56:51.470748,550,billing,1
CALL_0019,a10d71a2fc22fad5752843d21a16af145eb9180fe58bcbd17ff400705cc67ad9,C,2025-08-31T00:04:51.470748,622,orders,1
CALL_0020,a52e6917cb50919c5699c55a2c1ae4551c0a3246d81fdd9b46a8952250d929f8,A,2025-08-24T12:28:51.470748,1543,tech_support,0
CALL_0021,90d37a6f5d9e63e052a3a9362ee045b11b744a241a011fb3b18036932706f1eb,A,2025-09-05T22:17:51.470748,809,tech_support,0
CALL_0022,8e4ee9c9c20609e67586e537fc8674cd6b6c4749b78d7196ddfe0f9514ad0fea,E,2025-09-06T03:00:51.470748,713,orders,1
CALL_0023,d192afa1d073f7fa65771362fe6f47264ef4a67dd98d8acdd21a79ecb4c3ee56,A,2025-09-07T06:44:51.470748,642,orders,1
CALL_0024,b702b683a88b712b149f4ed4246dc6f24611f945ffe30281ff71ea0211d1cfd3,E,2025-09-07T19:52:51.470748,796,orders,1
CALL_0025,4f1db1efe5ad1009876c7aa30f65f6fcf6d69d87faab916b92d598538b93e7fd,B,2025-08-31T23:41:51.470748,1514,orders,0
CALL_0026,b8dc5acdee4b03b708a9936744fb5fd694499daf862fced0bc1937fca537fbcf,A,2025-09-13T13:25:51.470748,1050,returns,1
CALL_0027,aef5c0fc77790ae1307310050dacceaa68d4d18d8a18327c043d08c703ac7c49,E,2025-08-16T21:20:51.470748,1224,other,0
CALL_0028,3ba76bd3bddb5a09b3432cf8d8ce59a1d8d67f35f6970ad5979890afdde31b06,C,2025-09-04T02:12:51.470748,1139,returns,1
CALL_0029,6712ca7deaab1d60eeddfe0f49d3e3300979661bab1036fbd2f7cc9e7bac5ba7,A,2025-08-17T14:15:51.470748,825,returns,1
CALL_0030,850880b9b230400f1220854de8849d7f71e21f23100879680b316843109f6343,D,2025-09-02T17:41:51.470748,1384,tech_support,0
CALL_0031,14a9dbbe2800a9e3451f643c21678e0f9e74cd3b7454729eb54cec67b223a3db,A,2025-09-05T14:42:51.470748,1430,orders,1
CALL_0032,95193876f4681a3dbddefc451dfeb4ea9a8df836c96085f856460c70b502e743,E,2025-08-22T07:16:51.470748,1412,orders,1
